Identifier,prob_id,score,prob_desc
766780,1,0,SQL problem 1
766780,2,0,SQL problem 2
766780,3,0,SQL problem 3
766780,4,0,SQL problem 4
766780,5,0,SQL problem 5
766780,6,1,SQL problem 6
766780,7,0,SQL problem 7
766780,8,0,SQL problem 8
766781,1,0,SQL problem 1
766781,2,0,SQL problem 2
766781,3,0,SQL problem 3
766781,4,1,SQL problem 4
766781,5,1,SQL problem 5
766781,6,0,SQL problem 6
766781,7,0,SQL problem 7
766781,8,1,SQL problem 8
766813,1,0,SQL problem 1
766813,2,1,SQL problem 2
766813,3,0,SQL problem 3
766813,4,1,SQL problem 4
766813,5,0,SQL problem 5
766813,6,1,SQL problem 6
766813,7,1,SQL problem 7
766813,8,1,SQL problem 8
766804,1,0,SQL problem 1
766804,2,0,SQL problem 2
766804,3,0,SQL problem 3
766804,4,1,SQL problem 4
766804,5,0,SQL problem 5
766804,6,0,SQL problem 6
766804,7,0,SQL problem 7
766804,8,0,SQL problem 8
766795,1,0,SQL problem 1
766795,2,0,SQL problem 2
766795,3,0,SQL problem 3
766795,4,1,SQL problem 4
766795,5,0,SQL problem 5
766795,6,0,SQL problem 6
766795,7,0,SQL problem 7
766795,8,0,SQL problem 8
766807,1,0,SQL problem 1
766807,2,0,SQL problem 2
766807,3,0,SQL problem 3
766807,4,0,SQL problem 4
766807,5,0,SQL problem 5
766807,6,1,SQL problem 6
766807,7,0,SQL problem 7
766807,8,1,SQL problem 8
766782,1,0,SQL problem 1
766782,2,0,SQL problem 2
766782,3,0,SQL problem 3
766782,4,0,SQL problem 4
766782,5,0,SQL problem 5
766782,6,0,SQL problem 6
766782,7,0,SQL problem 7
766782,8,0,SQL problem 8
submissions/desktop.ini,1,1,SQL problem 1
submissions/desktop.ini,2,1,SQL problem 2
submissions/desktop.ini,3,1,SQL problem 3
submissions/desktop.ini,4,1,SQL problem 4
submissions/desktop.ini,5,1,SQL problem 5
submissions/desktop.ini,6,1,SQL problem 6
submissions/desktop.ini,7,1,SQL problem 7
submissions/desktop.ini,8,1,SQL problem 8
766784,1,0,SQL problem 1
766784,2,0,SQL problem 2
766784,3,0,SQL problem 3
766784,4,1,SQL problem 4
766784,5,1,SQL problem 5
766784,6,0,SQL problem 6
766784,7,1,SQL problem 7
766784,8,0,SQL problem 8
766786,1,0,SQL problem 1
766786,2,0,SQL problem 2
766786,3,0,SQL problem 3
766786,4,1,SQL problem 4
766786,5,0,SQL problem 5
766786,6,0,SQL problem 6
766786,7,0,SQL problem 7
766786,8,0,SQL problem 8
766809,1,0,SQL problem 1
766809,2,0,SQL problem 2
766809,3,0,SQL problem 3
766809,4,1,SQL problem 4
766809,5,0,SQL problem 5
766809,6,1,SQL problem 6
766809,7,0,SQL problem 7
766809,8,0,SQL problem 8
766811,1,0,SQL problem 1
766811,2,1,SQL problem 2
766811,3,0,SQL problem 3
766811,4,0,SQL problem 4
766811,5,0,SQL problem 5
766811,6,0,SQL problem 6
766811,7,0,SQL problem 7
766811,8,0,SQL problem 8
766793,1,0,SQL problem 1
766793,2,0,SQL problem 2
766793,3,0,SQL problem 3
766793,4,0,SQL problem 4
766793,5,1,SQL problem 5
766793,6,0,SQL problem 6
766793,7,0,SQL problem 7
766793,8,1,SQL problem 8
766796,1,0,SQL problem 1
766796,2,0,SQL problem 2
766796,3,0,SQL problem 3
766796,4,0,SQL problem 4
766796,5,0,SQL problem 5
766796,6,0,SQL problem 6
766796,7,0,SQL problem 7
766796,8,0,SQL problem 8
766790,1,0,SQL problem 1
766790,2,0,SQL problem 2
766790,3,0,SQL problem 3
766790,4,1,SQL problem 4
766790,5,0,SQL problem 5
766790,6,1,SQL problem 6
766790,7,0,SQL problem 7
766790,8,0,SQL problem 8
766788,1,0,SQL problem 1
766788,2,0,SQL problem 2
766788,3,0,SQL problem 3
766788,4,1,SQL problem 4
766788,5,0,SQL problem 5
766788,6,0,SQL problem 6
766788,7,0,SQL problem 7
766788,8,0,SQL problem 8
766803,1,0,SQL problem 1
766803,2,0,SQL problem 2
766803,3,0,SQL problem 3
766803,4,1,SQL problem 4
766803,5,0,SQL problem 5
766803,6,0,SQL problem 6
766803,7,1,SQL problem 7
766803,8,0,SQL problem 8
766783,1,0,SQL problem 1
766783,2,0,SQL problem 2
766783,3,0,SQL problem 3
766783,4,1,SQL problem 4
766783,5,0,SQL problem 5
766783,6,0,SQL problem 6
766783,7,0,SQL problem 7
766783,8,0,SQL problem 8
766805,1,0,SQL problem 1
766805,2,0,SQL problem 2
766805,3,0,SQL problem 3
766805,4,1,SQL problem 4
766805,5,1,SQL problem 5
766805,6,0,SQL problem 6
766805,7,0,SQL problem 7
766805,8,1,SQL problem 8
766779,1,0,SQL problem 1
766779,2,0,SQL problem 2
766779,3,0,SQL problem 3
766779,4,1,SQL problem 4
766779,5,1,SQL problem 5
766779,6,1,SQL problem 6
766779,7,1,SQL problem 7
766779,8,1,SQL problem 8
766802,1,0,SQL problem 1
766802,2,0,SQL problem 2
766802,3,0,SQL problem 3
766802,4,1,SQL problem 4
766802,5,0,SQL problem 5
766802,6,0,SQL problem 6
766802,7,0,SQL problem 7
766802,8,0,SQL problem 8
766814,1,0,SQL problem 1
766814,2,0,SQL problem 2
766814,3,0,SQL problem 3
766814,4,1,SQL problem 4
766814,5,0,SQL problem 5
766814,6,0,SQL problem 6
766814,7,0,SQL problem 7
766814,8,0,SQL problem 8
766789,1,0,SQL problem 1
766789,2,0,SQL problem 2
766789,3,0,SQL problem 3
766789,4,1,SQL problem 4
766789,5,0,SQL problem 5
766789,6,0,SQL problem 6
766789,7,0,SQL problem 7
766789,8,0,SQL problem 8
766800,1,0,SQL problem 1
766800,2,0,SQL problem 2
766800,3,1,SQL problem 3
766800,4,1,SQL problem 4
766800,5,1,SQL problem 5
766800,6,1,SQL problem 6
766800,7,1,SQL problem 7
766800,8,1,SQL problem 8
766815,1,1,SQL problem 1
766815,2,1,SQL problem 2
766815,3,0,SQL problem 3
766815,4,1,SQL problem 4
766815,5,1,SQL problem 5
766815,6,1,SQL problem 6
766815,7,1,SQL problem 7
766815,8,1,SQL problem 8
766799,1,0,SQL problem 1
766799,2,0,SQL problem 2
766799,3,1,SQL problem 3
766799,4,1,SQL problem 4
766799,5,1,SQL problem 5
766799,6,1,SQL problem 6
766799,7,1,SQL problem 7
766799,8,1,SQL problem 8
766816,1,0,SQL problem 1
766816,2,0,SQL problem 2
766816,3,0,SQL problem 3
766816,4,1,SQL problem 4
766816,5,0,SQL problem 5
766816,6,0,SQL problem 6
766816,7,0,SQL problem 7
766816,8,0,SQL problem 8
766791,1,0,SQL problem 1
766791,2,0,SQL problem 2
766791,3,0,SQL problem 3
766791,4,1,SQL problem 4
766791,5,1,SQL problem 5
