Identifier,prob_id,prob_desc,score
766780,1,SQL problem 1,0
766780,2,SQL problem 2,0
766780,3,SQL problem 3,0
766780,4,SQL problem 4,0
766780,5,SQL problem 5,0
766780,6,SQL problem 6,1
766780,7,SQL problem 7,0
766780,8,SQL problem 8,0
766781,1,SQL problem 1,0
766781,2,SQL problem 2,0
766781,3,SQL problem 3,0
766781,4,SQL problem 4,1
766781,5,SQL problem 5,1
766781,6,SQL problem 6,0
766781,7,SQL problem 7,0
766781,8,SQL problem 8,1
766813,1,SQL problem 1,0
766813,2,SQL problem 2,1
766813,3,SQL problem 3,0
766813,4,SQL problem 4,1
766813,5,SQL problem 5,0
766813,6,SQL problem 6,1
766813,7,SQL problem 7,1
766813,8,SQL problem 8,1
766804,1,SQL problem 1,0
766804,2,SQL problem 2,0
766804,3,SQL problem 3,0
766804,4,SQL problem 4,1
766804,5,SQL problem 5,0
766804,6,SQL problem 6,0
766804,7,SQL problem 7,0
766804,8,SQL problem 8,0
766795,1,SQL problem 1,0
766795,2,SQL problem 2,0
766795,3,SQL problem 3,0
766795,4,SQL problem 4,1
766795,5,SQL problem 5,0
766795,6,SQL problem 6,0
766795,7,SQL problem 7,0
766795,8,SQL problem 8,0
766807,1,SQL problem 1,0
766807,2,SQL problem 2,0
766807,3,SQL problem 3,0
766807,4,SQL problem 4,0
766807,5,SQL problem 5,0
766807,6,SQL problem 6,1
766807,7,SQL problem 7,0
766807,8,SQL problem 8,1
766782,1,SQL problem 1,0
766782,2,SQL problem 2,0
766782,3,SQL problem 3,0
766782,4,SQL problem 4,0
766782,5,SQL problem 5,0
766782,6,SQL problem 6,0
766782,7,SQL problem 7,0
766782,8,SQL problem 8,0
submissions/desktop.ini,1,SQL problem 1,1
submissions/desktop.ini,2,SQL problem 2,1
submissions/desktop.ini,3,SQL problem 3,1
submissions/desktop.ini,4,SQL problem 4,1
submissions/desktop.ini,5,SQL problem 5,1
submissions/desktop.ini,6,SQL problem 6,1
submissions/desktop.ini,7,SQL problem 7,1
submissions/desktop.ini,8,SQL problem 8,1
766784,1,SQL problem 1,0
766784,2,SQL problem 2,0
766784,3,SQL problem 3,0
766784,4,SQL problem 4,1
766784,5,SQL problem 5,1
766784,6,SQL problem 6,0
766784,7,SQL problem 7,1
766784,8,SQL problem 8,0
766786,1,SQL problem 1,0
766786,2,SQL problem 2,0
766786,3,SQL problem 3,0
766786,4,SQL problem 4,1
766786,5,SQL problem 5,0
766786,6,SQL problem 6,0
766786,7,SQL problem 7,0
766786,8,SQL problem 8,0
766809,1,SQL problem 1,0
766809,2,SQL problem 2,0
766809,3,SQL problem 3,0
766809,4,SQL problem 4,1
766809,5,SQL problem 5,0
766809,6,SQL problem 6,1
766809,7,SQL problem 7,0
766809,8,SQL problem 8,0
766811,1,SQL problem 1,0
766811,2,SQL problem 2,1
766811,3,SQL problem 3,0
766811,4,SQL problem 4,0
766811,5,SQL problem 5,0
766811,6,SQL problem 6,0
766811,7,SQL problem 7,0
766811,8,SQL problem 8,0
766793,1,SQL problem 1,0
766793,2,SQL problem 2,0
766793,3,SQL problem 3,0
766793,4,SQL problem 4,0
766793,5,SQL problem 5,1
766793,6,SQL problem 6,0
766793,7,SQL problem 7,0
766793,8,SQL problem 8,1
766796,1,SQL problem 1,0
766796,2,SQL problem 2,0
766796,3,SQL problem 3,0
766796,4,SQL problem 4,0
766796,5,SQL problem 5,0
766796,6,SQL problem 6,0
766796,7,SQL problem 7,0
766796,8,SQL problem 8,0
766790,1,SQL problem 1,0
766790,2,SQL problem 2,0
766790,3,SQL problem 3,0
766790,4,SQL problem 4,1
766790,5,SQL problem 5,0
766790,6,SQL problem 6,1
766790,7,SQL problem 7,0
766790,8,SQL problem 8,0
766788,1,SQL problem 1,0
766788,2,SQL problem 2,0
766788,3,SQL problem 3,0
766788,4,SQL problem 4,1
766788,5,SQL problem 5,0
766788,6,SQL problem 6,0
766788,7,SQL problem 7,0
766788,8,SQL problem 8,0
766803,1,SQL problem 1,0
766803,2,SQL problem 2,0
766803,3,SQL problem 3,0
766803,4,SQL problem 4,1
766803,5,SQL problem 5,0
766803,6,SQL problem 6,0
766803,7,SQL problem 7,1
766803,8,SQL problem 8,0
766783,1,SQL problem 1,0
766783,2,SQL problem 2,0
766783,3,SQL problem 3,0
766783,4,SQL problem 4,1
766783,5,SQL problem 5,0
766783,6,SQL problem 6,0
766783,7,SQL problem 7,0
766783,8,SQL problem 8,0
766805,1,SQL problem 1,0
766805,2,SQL problem 2,0
766805,3,SQL problem 3,0
766805,4,SQL problem 4,1
766805,5,SQL problem 5,1
766805,6,SQL problem 6,0
766805,7,SQL problem 7,0
766805,8,SQL problem 8,1
766779,1,SQL problem 1,0
766779,2,SQL problem 2,0
766779,3,SQL problem 3,0
